gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv0001,dnaA,saddlebrown,0.671689521,information pathways,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, DNA replication","DNA binding, hydrolase activity"
gene:Rv0002,dnaN,blue,0.847959176,information pathways,DNA replication,"DNA binding, hydrolase activity, catalytic activity, acting on DNA, transferase activity"
gene:Rv0003,recF,tan,0.825544552,information pathways,"DNA repair, DNA replication",DNA binding
gene:Rv0004,Rv0004,pink,0.901598765,conserved hypotheticals,NA,NA
gene:Rv0005,gyrB,turquoise,-0.004752587,information pathways,DNA replication,"DNA binding, catalytic activity, acting on DNA, isomerase activity"
gene:Rv0006,gyrA,brown,0.74144982,information pathways,DNA replication,"DNA binding, catalytic activity, acting on DNA, isomerase activity, hydrolase activity"
gene:Rv0007,Rv0007,brown,0.664424948,cell wall and cell processes,NA,NA
gene:Rv0008c,Rv0008c,darkturquoise,0.750572941,cell wall and cell processes,NA,NA
gene:Rv0009,ppiA,tan,0.792462957,information pathways,"protein folding, protein modification process","catalytic activity, acting on a protein, isomerase activity"
gene:Rv0010c,Rv0010c,blue,0.727510125,cell wall and cell processes,NA,NA
gene:Rv0011c,Rv0011c,turquoise,0.360956371,cell wall and cell processes,NA,NA
gene:Rv0012,Rv0012,darkgrey,0.387656148,cell wall and cell processes,NA,NA
gene:Rv0013,trpG,turquoise,-0.190908382,intermediary metabolism and respiration,cellular amino acid metabolic process,lyase activity
gene:Rv0014c,pknB,tan,0.860319274,regulatory proteins,"protein modification process, carbohydrate derivative metabolic process, cell wall organization or biogenesis","catalytic activity, acting on a protein, transferase activity, molecular function regulator"
gene:Rv0015c,pknA,magenta,0.957579717,regulatory proteins,protein modification process,"catalytic activity, acting on a protein, transferase activity"
gene:Rv0016c,pbpA,magenta,0.899904986,cell wall and cell processes,"cell wall organization or biogenesis, carbohydrate derivative metabolic process","catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0017c,rodA,blue,0.81725892,cell wall and cell processes,"cell wall organization or biogenesis, carbohydrate derivative metabolic process","transmembrane transport, transporter activity, transferase activity"
gene:Rv0018c,pstP,magenta,0.885365425,regulatory proteins,protein modification process,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0019c,fhaB,brown,0.870720516,regulatory proteins,NA,RNA binding
gene:Rv0020c,fhaA,brown,0.67686062,regulatory proteins,NA,NA
gene:Rv0021c,Rv0021c,black,0.525243696,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0022c,whiB5,yellow,0.432401794,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv0023,Rv0023,blue,0.322554172,regulatory proteins,NA,DNA binding
gene:Rv0024,Rv0024,brown,0.621884936,"virulence, detoxification, adaptation",NA,NA
gene:Rv0025,Rv0025,blue,0.268600755,conserved hypotheticals,NA,NA
gene:Rv0026,Rv0026,blue,0.555055496,conserved hypotheticals,NA,NA
gene:Rv0027,Rv0027,yellow,0.64267991,conserved hypotheticals,NA,NA
gene:Rv0028,Rv0028,yellow,0.451957475,conserved hypotheticals,NA,NA
gene:Rv0029,Rv0029,steelblue,0.085642358,conserved hypotheticals,NA,NA
gene:Rv0030,Rv0030,green,0.547503952,conserved hypotheticals,NA,NA
gene:Rv0031,Rv0031,paleturquoise,0.780924154,insertion seqs and phages,NA,NA
gene:Rv0032,bioF2,black,0.35974904,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0033,acpA,black,0.363652303,lipid metabolism,"carbohydrate derivative metabolic process, lipid metabolic process, carbohydrate metabolic process","lipid metabolic process, molecular carrier activity"
gene:Rv0034,Rv0034,blue,0.665701135,conserved hypotheticals,NA,NA
gene:Rv0035,fadD34,blue,0.829438719,lipid metabolism,lipid metabolic process,"transferase activity, ligase activity"
gene:Rv0036c,Rv0036c,magenta,0.739747702,conserved hypotheticals,NA,NA
gene:Rv0037c,Rv0037c,turquoise,0.197340302,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0038,Rv0038,lightcyan1,0.710393397,conserved hypotheticals,NA,NA
gene:Rv0039c,Rv0039c,pink,0.738488622,cell wall and cell processes,NA,NA
gene:Rv0040c,mtc28,lightyellow,0.93395457,cell wall and cell processes,NA,NA
gene:Rv0041,leuS,orangered4,0.880290556,information pathways,"cellular amino acid metabolic process, tRNA metabolic process","catalytic activity, acting on RNA, ligase activity, tRNA metabolic process, hydrolase activity"
gene:Rv0042c,Rv0042c,pink,0.852080564,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv0043c,Rv0043c,blue,0.402940948,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0044c,Rv0044c,blue,0.560114525,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0045c,Rv0045c,ivory,0.656654932,lipid metabolism,NA,hydrolase activity
gene:Rv0046c,ino1,ivory,0.746951511,intermediary metabolism and respiration,"carbohydrate metabolic process, lipid metabolic process",isomerase activity
gene:Rv0047c,Rv0047c,green,0.771587245,conserved hypotheticals,NA,NA
gene:Rv0048c,Rv0048c,steelblue,0.838926093,cell wall and cell processes,NA,NA
gene:Rv0049,Rv0049,darkorange,0.523156728,conserved hypotheticals,NA,NA
gene:Rv0050,ponA1,tan,0.575795649,cell wall and cell processes,"carbohydrate derivative metabolic process, cell wall organization or biogenesis","transferase activity, catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0051,Rv0051,blue,0.652859864,cell wall and cell processes,NA,transferase activity
gene:Rv0052,Rv0052,pink,0.732107718,conserved hypotheticals,NA,NA
gene:Rv0053,rpsF,red,0.232474051,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0054,ssb,orangered4,0.821541725,information pathways,DNA replication,DNA binding
gene:Rv0055,rpsR1,thistle2,0.814555677,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0056,rplI,skyblue,0.730225968,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0057,Rv0057,tan,0.777088078,conserved hypotheticals,NA,NA
gene:Rv0058,dnaB,tan,0.864748226,information pathways,"DNA replication, protein maturation, DNA recombination","catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0059,Rv0059,tan,0.890886617,conserved hypotheticals,NA,NA
gene:Rv0060,Rv0060,grey,-0.540209142,conserved hypotheticals,protein modification process,NA
gene:Rv0061c,Rv0061c,darkgrey,0.243644917,conserved hypotheticals,NA,NA
gene:Rv0062,celA1,thistle2,0.867659969,intermediary metabolism and respiration,carbohydrate metabolic process,hydrolase activity
gene:Rv0063,Rv0063,lightyellow,0.81697275,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0064,Rv0064,green,0.873174642,cell wall and cell processes,NA,NA
gene:Rv0064A,vapB1,lightgreen,0.896806281,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv0065,vapC1,lightgreen,0.795824124,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0066c,icd2,black,0.559968523,intermediary metabolism and respiration,"carbohydrate metabolic process, generation of precursor metabolites and energy",oxidoreductase activity
